Parent	WATOff	Names	Truck	Plant	Stud0	Stud1	Stud2	Stud3	Stud4	Stud5	Stud6	Stud7	Stud8	Mach0	Mach1	Mach2	Mach3	Mach4	Mach5	Mach6	Mach7	Mach8	Mach9	Mach10	Mach11	Mach12	Mach13	Mach14	Mach15	Mach16	Mach17	Cour0	Cour1	Cour2	
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	
S	S	S																														S	S	S	
			D2,48																																
			d3,48																																
			U3,0													R	r																		
			D3,48																																
			d4,48																																
			U4,0														R	r																	
			D4,48																																
			d5,48																																
D7,2			U5,0															R	r																
			D5,48																																
			d6,48																																
			U6,0																R	r															
			D6,48																																
			d7,48																																
			U7,0																	R	r														
			D7,48																																
			d8,48																																
			U8,0																		R	r													
			D8,48																																
			d9,48																																
			U9,0																			R	r												
			D9,48																																
			d10,48																																
			U10,0																				R	r											
			D10,48																																
			d11,48																																
D5,3			U11,0																					R	r										
			D11,48																																
			d12,48																																
			U12,0																						R	r									
			D12,40																																
			d13,40																																
			U13,10																							R	r								
			D13,33																																
			d14,33																																
			U14,20																								R	r							
			D14,4																																
			d15,4																									R	r						
D7,3			D15,0																										R						
			P26																																
			d0,26																																
			U0,0	P										r																					
			D0,26																																
			d1,26																																
			U1,0	G28										R	r																				
			D1,26																																
			d2,26																																
			U2,0												R	r																			
			D2,26																																
			d3,26																																
			U3,0													R	r																		
			D3,26																																
			d4,26																																
			U4,0														R	r																	
			D4,26																																
			d5,26																																
D7,2			U5,0															R	r																
			D5,26																																
			d6,26																																
			U6,0																R	r															
			D6,26																																
			d7,26																																
			U7,0																	R	r														
			D7,26																																
			d8,26																																
			U8,0																		R	r													
			D8,26																																
			d9,26																																
			U9,0																			R	r												
			D9,26																																
			d10,26																																
			U10,0																				R	r											
			D10,26																																
			d11,26																																
D5,2			U11,0																					R	r										
			D11,26																																
			d12,26																																
			U12,0																						R	r									
			D12,26																																
			d13,26																																
			U13,10																							R	r								
			D13,26																																
			d14,26																																
			U14,17																								R	r							
			D14,23																																
			d15,23																									R	r						
			D15,0																										R						
			P28																																
			d0,28																																
			U0,0	P										r																					
			D0,28																																
			d1,28																																
D2,3			U1,0	G28										R	r																				
			D1,28																																
			d2,28																																
			U2,0												R	r																			
			D2,28																																
			d3,28																																
			U3,0													R	r																		
			D3,28																																
			d4,28																																
			U4,0														R	r																	
			D4,28																																
			d5,28																																
			U5,0															R	r																
			D5,28																																
			d6,28																																
			U6,0																R	r															
			D6,28																																
			d7,28																																
D8,3			U7,0																	R	r														
			D7,28																																
			d8,28																																
			U8,0																		R	r													
			D8,28																																
			d9,28																																
			U9,0																			R	r												
			D9,28																																
			d10,28																																
			U10,0																				R	r											
			D10,28																																
			d11,28																																
			U11,0																					R	r										
			D11,28																																
			d12,28																																
			U12,0																						R	r									
			D12,28																																
			d13,28																																
			U13,7																							R	r								
			D13,25																																
			d14,25																																
D8,1			U14,17																								R	r							
			D14,25																																
			d15,25																																
			U15,25																									R	r						
			D15,9																																
			d16,9																										R	r					
			D16,0																											R					
			P28																																
			d0,28																																
			U0,0	P										r																					
			D0,28																																
			d1,28																																
			U1,0	G24										R	r																				
			D1,28																																
			d2,28																																
D2,1			U2,0												R	r																			
			D2,28																																
			d3,28																																
			U3,0													R	r																		
			D3,28																																
			d4,28																																
			U4,0														R	r																	
			D4,28																																
			d5,28																																
			U5,0															R	r																
			D5,28																																
			d6,28																																
			U6,0																R	r															
			D6,28																																
			d7,28																																
			U7,0																	R	r														
			D7,28																																
			d8,28																																
			U8,0																		R	r													
			D8,28																																
			d9,28																																
D2,1			U9,0																			R	r												
			D9,28																																
			d10,28																																
			U10,0																				R	r											
			D10,28																																
			d11,28																																
			U11,0																					R	r										
			D11,28																																
			d12,28																																
			U12,0																						R	r									
			D12,28																																
			d13,28																																
			U13,1																							R	r								
			D13,22																																
			d14,22																																
			U14,17																								R	r							
			D14,22																																
			d15,22																																
D5,2			U15,23																									R	r						
			D15,20																																
			d16,20																																
			U16,42																										R	r					
			D16,3																																
			d17,3																											R	r				
			D17,0																												R				
			P24																																
			d0,24																																
			U0,0	P										r																					
			D0,24																																
			d1,24																																
			U1,0	G14										R	r																				
			D1,24																																
			d2,24																																
			U2,0												R	r																			
			D2,24																																
			d3,24																																
D0,3			U3,0													R	r																		
			D3,24																																
			d4,24																																
			U4,0														R	r																	
			D4,24																																
			d5,24																																
			U5,0															R	r																
			D5,24																																
			d6,24																																
			U6,0																R	r															
			D6,24																																
			d7,24																																
			U7,0																	R	r														
			D7,24																																
			d8,24																																
			U8,0																		R	r													
			D8,24																																
			d9,24																																
			U9,0																			R	r												
			D9,24																																
			d10,24																																
D3,3			U10,0																				R	r											
			D10,24																																
			d11,24																																
			U11,0																					R	r										
			D11,24																																
			d12,24																																
			U12,0																						R	r									
			D12,24																																
			d13,24																																
			U13,0																							R	r								
			D13,23																																
			d14,23																																
			U14,12																								R	r							
			D14,18																																
			d15,18																																
			U15,18																									R	r						
			D15,13																																
			d16,13																																
D4,1			U16,34																										R	r					
			D16,5																																
			d17,5																											R	r				
			D17,0																												R				
			P14																																
			d0,14																																
			U0,0	P										r																					
			D0,14																																
			d1,14																																
			U1,0	G11										R	r																				
			D1,14																																
			d2,14																																
			U2,0												R	r																			
			D2,14																																
			d3,14																																
			U3,0													R	r																		
			D3,14																																
			d4,14																																
D6,3			U4,0														R	r																	
			D4,14																																
			d5,14																																
			U5,0															R	r																
			D5,14																																
			d6,14																																
			U6,0																R	r															
			D6,14																																
			d7,14																																
			U7,0																	R	r														
			D7,14																																
			d8,14																																
			U8,0																		R	r													
			D8,14																																
			d9,14																																
